Geneid,NCAPD3 Knockdown1,NCAPD3 Knockdown2,NCAPD3 Knockdown3,Wild.Type1,Wild Type2,Wild Type3
ENSG00000158008,6,4,8,7,7,0
ENSG00000130940,894,973,830,735,735,852
ENSG00000163879,8,11,7,10,10,2
ENSG00000227527,2,4,6,4,4,8
ENSG00000116954,232,272,344,211,211,219
ENSG00000228589,87,447,434,311,311,365
ENSG00000163873,0,0,0,0,0,0
ENSG00000117215,0,0,0,0,0,0
ENSG00000230163,0,0,0,0,0,0
ENSG00000227538,0,0,0,0,0,0
ENSG00000044012,2,0,4,2,2,2
ENSG00000179051,4,3060,2924,2880,2880,2831
ENSG00000215895,12,15,15,15,15,11
ENSG00000284650,0,0,0,0,0,0
ENSG00000237329,0,0,0,0,0,0
ENSG00000236948,0,0,0,0,0,1
ENSG00000126067,1194,1217,1372,1186,1186,1188
ENSG00000274944,0,0,0,0,0,0
ENSG00000272078,13,3,8,7,7,11
ENSG00000230451,0,0,0,0,0,0
ENSG00000231606,0,0,0,0,0,0
ENSG00000215900,0,0,0,0,0,0
ENSG00000284632,0,0,0,0,0,0
ENSG00000241014,3,6,3,0,0,8
ENSG00000054118,18321,20925,15436,13265,13265,12604
ENSG00000254553,0,0,1,0,0,0
ENSG00000284653,0,0,0,0,0,0
ENSG00000237749,18,14,6,6,6,10
ENSG00000276747,0,0,0,0,0,0
ENSG00000284705,0,0,0,0,0,0
ENSG00000228776,0,0,0,0,0,0
ENSG00000159339,0,4,2,2,2,0
ENSG00000261781,0,0,0,0,0,0
ENSG00000284743,0,0,0,0,0,0
ENSG00000158315,321,310,276,228,228,236
ENSG00000186973,4,4,3,9,9,9
ENSG00000146463,2016,2125,1836,1772,1772,1557
ENSG00000271741,0,0,0,0,0,0
ENSG00000142686,583,530,613,579,579,468
ENSG00000224751,0,0,0,0,0,0
ENSG00000117148,0,0,0,2,2,2
ENSG00000230585,0,1,0,4,4,2
ENSG00000117000,468,602,557,461,461,440
ENSG00000284989,0,0,0,0,0,0
ENSG00000231630,0,0,0,0,0,0
ENSG00000092853,8174,8605,7263,6548,6548,5345
ENSG00000255811,0,0,0,0,0,1
ENSG00000134697,5817,7137,7484,6905,6905,6171
ENSG00000187513,2,0,2,0,0,0
ENSG00000225142,0,0,0,0,0,0
ENSG00000230138,0,0,0,0,0,0
ENSG00000223390,0,0,0,0,0,0
ENSG00000284720,0,0,0,0,0,0
ENSG00000225671,4,0,0,0,0,0
ENSG00000116151,1206,1404,1165,1215,1215,931
ENSG00000006555,0,16,0,0,0,0
ENSG00000236111,0,0,0,0,0,1
ENSG00000066056,2,0,2,0,0,0
ENSG00000214114,195,189,234,215,215,190
ENSG00000116544,4,5,6,0,0,0
ENSG00000231900,0,0,0,0,0,0
ENSG00000236723,1,0,0,0,0,0
ENSG00000232467,0,0,0,0,0,0
ENSG00000117016,56,38,32,22,22,15
ENSG00000169213,4,0,0,0,0,0
ENSG00000163866,1414,1689,1554,1507,1507,1228
ENSG00000237130,0,0,0,0,0,0
ENSG00000232335,0,1,0,1,1,0
ENSG00000260971,0,0,0,0,0,0
ENSG00000284696,0,0,0,0,0,0
ENSG00000238242,0,0,0,0,0,0
ENSG00000285839,0,0,0,0,0,0
ENSG00000232762,2,0,5,0,0,3
ENSG00000162384,389,384,511,409,409,438
ENSG00000162391,9,1,9,4,4,5
ENSG00000117859,3807,4199,3986,3643,3643,3191
ENSG00000228121,0,0,0,0,0,0
ENSG00000253313,0,0,0,0,0,0
ENSG00000162396,70,54,74,85,85,68
ENSG00000284686,0,0,3,0,0,0
ENSG00000162378,282,269,257,254,254,253
ENSG00000233079,0,0,0,0,0,0
ENSG00000259818,0,0,0,2,2,0
ENSG00000229444,0,0,0,0,0,0
ENSG00000240563,0,0,0,0,0,0
ENSG00000234318,0,0,0,0,0,0
ENSG00000284773,5,8,4,2,2,2
ENSG00000234481,0,0,0,0,0,0
ENSG00000117862,697,694,800,652,652,660
ENSG00000235612,0,0,0,0,0,0
ENSG00000228369,6,2,0,2,2,0
ENSG00000227485,0,0,0,0,0,0
ENSG00000224609,5,6,9,6,6,4
ENSG00000235545,5,9,9,4,4,4
ENSG00000236646,0,0,0,0,0,0
ENSG00000232198,0,0,0,0,0,0
ENSG00000238063,0,0,0,0,0,0
ENSG00000227104,0,0,0,0,0,0
ENSG00000243725,118,130,168,163,163,133
ENSG00000171872,36,31,28,70,70,62
ENSG00000162407,76,91,80,76,76,100
ENSG00000285079,0,0,0,0,0,0
ENSG00000163877,1601,2030,1749,1365,1365,1378
ENSG00000228929,16,15,12,11,11,14
ENSG00000224570,0,0,0,0,0,0
ENSG00000224980,0,0,0,0,0,0
ENSG00000278967,0,0,0,2,2,2
ENSG00000157184,590,491,526,509,509,493
ENSG00000198815,2899,3486,2585,2441,2441,2362
ENSG00000134744,1927,2068,1392,1631,1631,1488
ENSG00000233910,0,0,0,0,0,0
ENSG00000287703,0,0,0,0,0,0
ENSG00000283039,0,0,0,0,0,2
ENSG00000229032,0,1,0,0,0,0
ENSG00000229294,0,0,0,0,0,0
ENSG00000234088,0,0,0,0,0,0
ENSG00000236973,0,0,0,0,0,0
ENSG00000277397,0,0,0,0,0,0
ENSG00000235446,0,0,0,0,0,0
ENSG00000162385,1964,2307,2378,2211,2211,1899
ENSG00000234264,0,0,2,2,2,0
ENSG00000223883,0,0,0,0,0,0
ENSG00000237227,0,0,0,0,0,0
ENSG00000275350,0,0,0,0,0,0
ENSG00000116652,7,16,11,9,9,6
ENSG00000123080,3018,3099,2558,1836,1836,1897
ENSG00000285778,2,0,0,0,0,0
ENSG00000233407,0,0,0,0,0,0
ENSG00000225675,4,2,4,2,2,2
ENSG00000237622,0,0,0,0,0,0
ENSG00000162598,0,0,0,0,0,2
ENSG00000280317,0,0,0,0,0,0
ENSG00000162415,225,223,204,194,194,151
ENSG00000162600,211,209,209,198,198,185
ENSG00000116704,382,381,319,305,305,277
ENSG00000157193,3860,4026,4002,3420,3420,3331
ENSG00000116205,586,606,690,674,674,619
ENSG00000198841,35,60,68,52,52,34
ENSG00000116212,935,936,826,812,812,723
ENSG00000234204,0,0,0,0,0,0
ENSG00000233099,0,0,0,0,0,0
ENSG00000233994,6,1,3,4,4,1
ENSG00000233973,0,0,0,0,0,0
ENSG00000132854,65,72,76,40,40,29
ENSG00000227556,0,0,0,0,0,0
ENSG00000162607,6256,6410,5996,4901,4901,4079
ENSG00000285954,0,0,0,0,0,0
ENSG00000233333,0,0,0,0,0,0
ENSG00000154027,0,72,0,0,0,2
ENSG00000234108,0,0,0,0,0,0
ENSG00000232676,0,2,1,1,1,2
ENSG00000225167,0,0,0,0,0,0
ENSG00000213579,0,0,0,0,0,0
ENSG00000137960,0,2,0,0,0,0
ENSG00000237852,0,0,2,0,0,0
ENSG00000116745,0,0,0,0,0,0
ENSG00000132855,0,0,0,0,0,2
ENSG00000285407,0,0,0,0,0,0
ENSG00000270549,0,0,0,0,0,0
ENSG00000237163,0,0,0,0,0,0
ENSG00000229636,0,0,0,0,0,0
ENSG00000116675,374,463,504,361,361,320
ENSG00000162433,113,90,74,34,34,60
ENSG00000213625,330,428,376,358,358,276
ENSG00000227207,0,2,0,0,0,0
ENSG00000227016,0,0,0,0,0,2
ENSG00000233664,0,2,0,1,1,0
ENSG00000158966,132,154,111,109,109,107
ENSG00000213703,0,0,0,3,3,0
ENSG00000203965,154,156,158,149,149,141
ENSG00000223479,0,0,0,0,0,0
ENSG00000233674,3,0,0,2,2,0
ENSG00000153898,0,2,0,0,0,1
ENSG00000117069,0,5,0,0,0,0
ENSG00000125703,130,136,135,118,118,110
ENSG00000285041,0,0,0,0,0,0
ENSG00000285808,2,0,0,0,0,1
ENSG00000229440,0,0,0,0,0,0
ENSG00000234144,0,0,0,0,0,0
ENSG00000277670,0,0,0,0,0,0
ENSG00000227466,0,0,0,0,0,0
ENSG00000230498,1,0,0,2,2,2
ENSG00000285782,0,0,0,0,0,0
ENSG00000162618,0,0,0,0,0,0
ENSG00000224493,0,0,0,0,0,0
ENSG00000131233,0,0,0,0,0,0
ENSG00000272371,0,0,0,0,0,0
ENSG00000287647,0,2,0,0,0,0
ENSG00000229225,0,0,0,0,0,0
ENSG00000230863,2,0,2,0,0,0
ENSG00000225598,0,0,0,0,0,0
ENSG00000286455,0,0,0,0,0,0
ENSG00000225087,10,21,8,15,15,12
ENSG00000280378,0,2,4,8,8,2
ENSG00000230053,0,0,0,0,0,0
ENSG00000137941,335,311,263,272,272,233
ENSG00000224326,0,0,0,0,0,0
ENSG00000286548,4,1,3,0,0,3
ENSG00000066135,1605,1458,1441,1378,1378,1201
ENSG00000272094,2,1,1,2,2,0
ENSG00000228853,0,0,0,0,0,0
ENSG00000232453,14,19,19,7,7,11
ENSG00000260386,0,0,0,0,0,0
ENSG00000284895,0,0,0,0,0,0
ENSG00000117174,3760,4728,4613,4695,4695,4053
ENSG00000237413,0,0,0,0,0,0
ENSG00000184313,15,11,6,6,6,13
ENSG00000284645,0,0,0,0,0,0
ENSG00000225446,0,0,0,0,0,0
ENSG00000288543,1,0,0,0,0,0
ENSG00000122420,0,0,0,0,0,0
ENSG00000284240,0,0,0,0,0,0
ENSG00000236290,0,0,0,1,1,0
ENSG00000143013,215,173,171,183,183,132
ENSG00000226084,126,266,196,151,151,152
ENSG00000134748,4044,4419,4468,4307,4307,3761
ENSG00000142892,386,410,375,367,367,325
ENSG00000219102,19,28,18,20,20,14
ENSG00000287743,0,0,0,0,0,0
ENSG00000229332,0,0,0,0,0,0
ENSG00000227937,0,0,0,0,0,0
ENSG00000229752,0,0,0,0,0,0
ENSG00000237505,7,3,6,3,3,7
ENSG00000285462,0,0,0,0,0,0
ENSG00000233216,0,0,0,0,0,0
ENSG00000197273,0,0,0,0,0,0
ENSG00000226804,0,0,0,0,0,0
ENSG00000230728,3,2,0,0,0,0
ENSG00000232846,0,0,0,0,0,0
ENSG00000230787,0,4,0,0,0,0
ENSG00000116641,699,688,629,494,494,503
ENSG00000237453,0,0,0,0,0,0
ENSG00000172260,923,897,811,671,671,623
ENSG00000285473,0,0,0,0,0,0
ENSG00000237959,0,0,0,0,0,0
ENSG00000231364,0,0,0,0,0,0
ENSG00000234578,0,0,0,0,0,0
ENSG00000137944,102,115,132,126,126,118
ENSG00000229505,0,0,0,0,0,0
ENSG00000228187,0,0,0,0,0,0
ENSG00000182183,0,13,2,0,0,2
ENSG00000236407,0,0,0,0,0,0
ENSG00000271949,0,0,0,0,0,0
ENSG00000227062,0,0,0,0,0,0
ENSG00000067334,8664,10877,10325,9443,9443,7870
ENSG00000235011,0,0,0,0,0,0
ENSG00000226938,0,0,0,0,0,0
ENSG00000213559,0,2,0,2,2,0
ENSG00000287587,0,0,0,0,0,0
ENSG00000142949,9589,9086,7007,6040,6040,7101
ENSG00000116133,3568,3303,3004,2635,2635,2748
ENSG00000232882,36,48,39,34,34,16
ENSG00000171502,1,8,4,0,0,4
ENSG00000116157,0,14,0,0,0,1
ENSG00000143036,61,66,70,43,43,76
ENSG00000230817,0,0,0,0,0,0
ENSG00000065243,1978,2127,1865,1888,1888,1720
ENSG00000226759,0,0,0,0,0,0
ENSG00000226960,0,0,0,0,0,0
ENSG00000234080,0,0,0,0,0,0
ENSG00000237899,3,1,2,1,1,4
ENSG00000227290,0,0,0,0,0,0
ENSG00000282898,0,0,0,0,0,0
ENSG00000285409,0,0,0,0,0,0
ENSG00000231090,4,0,0,0,0,0
ENSG00000117528,2258,2429,2502,1812,1812,1700
ENSG00000271723,0,0,0,0,0,0
ENSG00000172339,141,173,199,138,138,86
ENSG00000036549,1276,1255,1506,1257,1257,1198
ENSG00000287724,0,0,0,0,0,0
ENSG00000058799,135,145,145,94,94,120
ENSG00000225191,0,0,0,0,0,0
ENSG00000287870,0,0,0,0,0,0
ENSG00000232048,0,0,0,0,0,0
ENSG00000232857,0,0,0,0,0,0
ENSG00000273637,0,0,0,0,0,0
ENSG00000203985,6,6,6,0,0,0
ENSG00000228838,5,5,5,0,0,0
ENSG00000283761,1,5,2,2,2,7
ENSG00000189433,0,2,1,3,3,3
ENSG00000230759,0,0,0,0,0,0
ENSG00000179178,10,8,16,11,11,8
ENSG00000142700,293,330,308,215,215,246
ENSG00000285525,0,0,0,0,0,0
ENSG00000236098,8,2,6,0,0,3
ENSG00000233514,20,40,34,24,24,19
ENSG00000127124,362,412,295,240,240,213
ENSG00000266993,7,1,4,4,4,8
ENSG00000223675,0,0,0,0,0,0
ENSG00000229316,2,0,0,0,0,0
ENSG00000287406,0,0,0,0,0,0
ENSG00000225767,5,11,1,2,2,4
ENSG00000234099,0,0,0,0,0,1
ENSG00000137936,2354,2169,1949,1902,1902,1745
ENSG00000235308,0,0,0,0,0,0
ENSG00000232752,2,0,0,0,0,0
ENSG00000235829,0,0,0,0,0,0
ENSG00000143032,0,0,0,0,0,0
ENSG00000226745,0,0,0,0,0,0
ENSG00000280040,0,1,0,0,0,0
ENSG00000117519,2251,2078,2166,1739,1739,1673
ENSG00000270507,0,0,0,0,0,0
ENSG00000238037,1,0,0,0,0,0
ENSG00000215869,0,0,0,0,0,0
ENSG00000134215,110,236,107,66,66,90
ENSG00000227935,0,0,0,0,0,0
ENSG00000228502,14,15,10,15,15,17
ENSG00000236268,0,0,0,0,0,0
ENSG00000271277,0,0,0,0,0,0
ENSG00000236888,0,0,0,0,0,0
ENSG00000279778,0,0,0,0,0,0
ENSG00000230828,0,0,0,0,0,0
ENSG00000188641,206,224,164,149,149,119
ENSG00000152078,422,460,453,286,286,266
ENSG00000233359,0,0,0,0,0,0
ENSG00000237954,0,0,0,0,0,0
ENSG00000171492,618,648,568,444,444,360
ENSG00000233129,0,0,0,0,0,0
ENSG00000170989,2,206,2,0,0,4
ENSG00000233557,0,0,0,0,0,0
ENSG00000237897,0,6,2,2,2,0
ENSG00000116299,35,52,37,17,17,20
ENSG00000137962,1552,1762,1850,1477,1477,1298
ENSG00000227832,0,0,0,0,0,0
ENSG00000286692,0,6,2,4,4,3
ENSG00000260464,52,81,86,53,53,48
ENSG00000237435,0,0,0,0,0,0
ENSG00000231996,0,0,0,0,0,0
ENSG00000273204,1,0,0,0,0,1
ENSG00000079739,2011,2159,1977,1914,1914,1798
ENSG00000117154,0,0,0,0,0,0
ENSG00000162377,2503,2761,2778,2520,2520,2241
ENSG00000224613,5,0,0,2,2,0
ENSG00000215871,0,0,0,0,0,0
ENSG00000287372,0,0,0,0,0,0
ENSG00000232542,0,0,0,0,0,0
ENSG00000116774,0,0,2,0,0,0
ENSG00000287756,0,0,0,0,0,0
ENSG00000284652,0,0,0,0,0,0
ENSG00000023909,827,804,874,759,759,615
ENSG00000069702,1315,1418,1137,933,933,1052
ENSG00000232185,0,0,0,0,0,0
ENSG00000230489,0,1,0,0,0,0
ENSG00000228399,0,0,0,0,0,0
ENSG00000236776,0,0,0,0,0,0
ENSG00000224685,0,0,0,0,0,0
ENSG00000287076,0,0,0,0,0,0
ENSG00000237480,0,0,0,0,0,0
ENSG00000271252,8,10,2,0,0,4
ENSG00000230427,0,2,0,0,0,0
ENSG00000235794,0,0,0,0,0,0
ENSG00000286758,0,0,0,0,0,0
ENSG00000237337,0,0,0,0,0,0
ENSG00000233983,0,0,0,0,0,0
ENSG00000198198,1142,1394,968,1044,1044,1093
ENSG00000225183,0,0,0,0,0,2
ENSG00000230402,0,0,0,0,0,0
ENSG00000116793,1669,1724,1902,1487,1487,1311
ENSG00000238122,0,0,2,0,0,0
ENSG00000260879,0,0,0,0,0,0
ENSG00000283354,0,0,0,0,0,0
ENSG00000232918,0,0,0,0,0,0
ENSG00000183298,24,31,24,33,33,20
ENSG00000234332,1,7,9,3,3,2
ENSG00000117525,1420,1279,1268,1825,1825,1847
ENSG00000225079,0,0,0,0,0,0
ENSG00000226483,0,0,0,0,0,0
ENSG00000224238,0,0,0,2,2,0
ENSG00000229537,0,0,0,0,0,0
ENSG00000162699,0,1,0,0,0,0
ENSG00000162692,0,2,0,0,0,6
ENSG00000203914,9,1,6,5,5,10
ENSG00000270457,4,3,8,0,0,1
ENSG00000203858,0,0,0,0,0,0
ENSG00000231987,0,0,0,0,0,0
ENSG00000228057,41,28,21,18,18,30
ENSG00000224445,0,0,0,0,0,0
ENSG00000229842,0,0,0,0,0,0
ENSG00000270631,0,0,0,0,0,0
ENSG00000229201,0,0,0,0,0,0
ENSG00000181656,0,0,0,0,0,0
ENSG00000122481,209,202,309,181,181,182
ENSG00000198162,1364,1747,1458,1257,1257,1163
ENSG00000238198,0,9,4,9,9,2
ENSG00000171517,0,1,0,0,0,0
ENSG00000228852,48,45,48,48,48,46
ENSG00000203864,0,0,0,0,0,0
ENSG00000233482,0,0,0,0,0,0
ENSG00000230250,0,0,0,0,0,0
ENSG00000232878,0,2,0,0,0,0
ENSG00000143079,2948,2837,2718,2529,2529,2510
ENSG00000232450,16,13,14,9,9,21
ENSG00000223575,0,2,2,2,2,2
ENSG00000230768,0,0,0,0,0,0
ENSG00000235202,0,0,0,0,0,0
ENSG00000272715,4,5,4,6,6,4
ENSG00000235038,0,0,0,0,0,0
ENSG00000085491,1,1012,985,750,750,724
ENSG00000173947,0,0,0,0,0,0
ENSG00000230434,0,0,0,0,0,0
ENSG00000230718,0,0,0,0,0,0
ENSG00000134198,18,9,11,7,7,5
ENSG00000235595,0,0,0,0,0,0
ENSG00000226053,0,0,0,0,0,0
ENSG00000226128,0,0,0,0,0,0
ENSG00000198799,224,253,237,172,172,207
ENSG00000279513,0,0,0,0,0,0
ENSG00000117620,1204,1147,1054,1017,1017,767
ENSG00000280186,0,4,4,6,6,2
ENSG00000223906,0,0,0,0,0,0
ENSG00000162688,771,717,696,648,648,640
ENSG00000197106,126,113,76,56,56,66
ENSG00000259946,0,0,0,0,0,0
ENSG00000236137,4,8,3,2,2,4
ENSG00000203859,0,0,0,0,0,0
ENSG00000228086,0,0,0,0,0,0
ENSG00000213421,1,1,4,0,0,1
ENSG00000234020,0,0,0,0,0,0
ENSG00000236804,0,1,5,0,0,0
ENSG00000231072,0,2,0,0,0,0
ENSG00000273406,0,0,0,0,0,0
ENSG00000185946,561,640,624,563,563,577
ENSG00000162627,536,629,642,416,416,448
ENSG00000226715,4,2,2,2,2,0
ENSG00000162695,288,265,285,270,270,240
ENSG00000265808,2530,2589,2387,2195,2195,1912
ENSG00000225923,0,0,0,0,0,0
ENSG00000134247,3434,3327,2935,2572,2572,2509
ENSG00000187481,0,0,0,0,0,0
ENSG00000162664,3248,3786,4161,3064,3064,2776
ENSG00000236866,0,0,0,0,0,0
ENSG00000134253,850,840,782,659,659,609
ENSG00000223416,2,4,7,2,2,0
ENSG00000179571,0,0,1,0,0,0
ENSG00000227850,4,2,0,6,6,2
ENSG00000235777,0,0,0,0,0,0
ENSG00000285532,0,0,0,0,0,0
ENSG00000226755,0,0,0,0,0,0
ENSG00000232650,0,0,0,0,0,0
ENSG00000183508,52,264,47,91,91,44
ENSG00000277095,0,0,0,0,0,0
ENSG00000234283,0,0,0,2,2,0
ENSG00000232780,0,0,0,0,0,0
ENSG00000274927,0,0,0,0,0,0
ENSG00000264145,0,0,0,0,0,0
ENSG00000238256,0,0,0,0,0,0
ENSG00000198765,0,0,0,0,0,0
ENSG00000224335,0,0,0,0,0,0
ENSG00000277702,0,0,0,0,0,0
ENSG00000143398,2410,2320,2185,1858,1858,1925
ENSG00000196505,319,364,301,280,280,286
ENSG00000223489,0,1,0,0,0,0
ENSG00000230546,0,0,0,0,0,0
ENSG00000213262,0,0,0,0,0,0
ENSG00000287015,0,0,0,0,0,1
ENSG00000235526,4,0,4,8,8,5
ENSG00000228347,0,0,0,0,0,0
ENSG00000236012,0,0,0,0,0,0
ENSG00000270911,0,0,4,0,0,0
ENSG00000134200,0,2,0,0,0,0
ENSG00000065183,2287,2524,2377,2774,2774,2572
ENSG00000227082,49,34,52,22,22,20
ENSG00000226126,0,1,0,0,0,1
ENSG00000163393,329,262,280,264,264,274
ENSG00000163156,1044,1100,1173,976,976,849
ENSG00000143631,0,0,0,0,0,2
ENSG00000228453,2,0,0,0,0,0
ENSG00000274642,0,0,0,0,0,0
ENSG00000237975,2,2,2,0,0,0
ENSG00000261168,0,0,2,0,0,0
ENSG00000287980,0,0,0,0,0,0
ENSG00000229283,0,0,0,0,0,0
ENSG00000226172,0,0,0,0,0,0
ENSG00000079335,106,331,95,88,88,76
ENSG00000143119,2,311,4,0,0,13
ENSG00000237278,0,0,0,0,0,0
ENSG00000233432,1,2,0,1,1,0
ENSG00000227700,0,0,0,0,0,0
ENSG00000229911,4,4,0,0,0,0
ENSG00000143520,0,0,0,0,0,0
ENSG00000171943,1155,1224,1004,885,885,892
ENSG00000270719,0,0,0,0,0,0
ENSG00000155761,2,0,5,0,0,6
ENSG00000230806,8,5,2,0,0,2
ENSG00000116830,1761,1805,1498,1567,1567,1653
ENSG00000234422,0,0,0,0,0,0
ENSG00000227056,0,0,0,0,0,0
ENSG00000227091,3,3,0,0,0,2
ENSG00000081026,1127,1255,952,1001,1001,986
ENSG00000224965,0,0,2,0,0,2
ENSG00000228127,0,0,0,0,0,2
ENSG00000143458,1224,1449,1307,1384,1384,1081
ENSG00000230932,0,0,0,0,0,0
ENSG00000073754,0,0,0,0,0,22
ENSG00000228826,3,4,2,0,0,0
ENSG00000233907,0,0,0,0,0,0
ENSG00000225036,0,0,0,0,0,0
ENSG00000228420,0,0,0,2,2,0
